2025-03-27 22:03:33 - Клик по координатам: (1815, 1019) с кнопкой left
2025-03-27 22:03:36 - Клик по координатам: (1825, 890) с кнопкой right
2025-03-27 22:03:38 - Клик по координатам: (1815, 1019) с кнопкой left
2025-03-27 22:03:41 - Клик по координатам: (1812, 510) с кнопкой left
2025-03-27 22:03:43 - Клик по координатам: (1822, 381) с кнопкой right
2025-03-27 22:03:46 - Клик по координатам: (1812, 510) с кнопкой left
2025-03-27 22:03:48 - Клик по координатам: (1178, 516) с кнопкой left
2025-03-27 22:03:51 - Клик по координатам: (1188, 387) с кнопкой right
2025-03-27 22:03:53 - Клик по координатам: (1178, 516) с кнопкой left
2025-03-27 22:03:56 - Клик по координатам: (522, 489) с кнопкой left
2025-03-27 22:03:58 - Клик по координатам: (532, 360) с кнопкой right
2025-03-27 22:04:01 - Клик по координатам: (522, 489) с кнопкой left
2025-03-27 22:04:03 - Клик по координатам: (1176, 556) с кнопкой left
2025-03-27 22:04:06 - Клик по координатам: (1186, 427) с кнопкой right
2025-03-27 22:04:08 - Клик по координатам: (1176, 556) с кнопкой left
2025-03-27 22:04:11 - Клик по координатам: (519, 545) с кнопкой left
2025-03-27 22:04:13 - Клик по координатам: (529, 416) с кнопкой right
2025-03-27 22:04:16 - Клик по координатам: (519, 545) с кнопкой left
2025-03-27 22:04:18 - Клик по координатам: (1817, 1012) с кнопкой left
2025-03-27 22:04:21 - Клик по координатам: (1827, 883) с кнопкой right
2025-03-27 22:04:23 - Клик по координатам: (1817, 1012) с кнопкой left
2025-03-27 22:04:26 - Клик по координатам: (1191, 1011) с кнопкой left
2025-03-27 22:04:28 - Клик по координатам: (1201, 882) с кнопкой right
2025-03-27 22:04:31 - Клик по координатам: (1191, 1011) с кнопкой left
2025-03-27 22:04:33 - Клик по координатам: (1187, 1018) с кнопкой left
2025-03-27 22:04:36 - Клик по координатам: (1197, 889) с кнопкой right
2025-03-27 22:04:38 - Клик по координатам: (1187, 1018) с кнопкой left
2025-03-27 22:06:02 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 22:06:04 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 22:06:07 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 22:06:09 - Клик по координатам: (1332, 977) с кнопкой right
2025-03-27 22:06:12 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 22:06:15 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 22:06:17 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 22:06:20 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 22:06:22 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 22:06:25 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 22:06:37 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 22:06:40 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 22:06:43 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 22:06:45 - Клик по координатам: (1332, 977) с кнопкой right
2025-03-27 22:06:48 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 22:06:50 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 22:06:53 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 22:06:55 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 22:06:58 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 22:07:00 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 22:07:13 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 22:07:16 - Клик по координатам: (702, 983) с кнопкой right
